date,weighted,close,high,low,open,volume
2015-12-08,397.29016,410.67,411.07,388.03,394.28,29543120.08
2015-12-09,415.911113,416,424.58,403.26,410.67,61289838.7
2015-12-10,415.762537,415.49,420.36,409.53,416,29794270.99
2015-12-11,436.619586,449.83,453.37,413.72,415.49,76433917.46
2015-12-12,434.347012,432.29,467.71,403.69,449.83,91838640.61
2015-12-13,434.961205,434.69,440.97,420.76,432.29,27898250.74
2015-12-14,443.389709,442,449.45,428.84,434.69,97068568.78
2015-12-15,456.84943,462.65,464.23,440.72,442,48912227.87
2015-12-16,455.326707,453.98,465.16,437.37,462.65,84336145.39
2015-12-17,454.423157,455.53,458.44,447.29,453.98,29344348.08
2015-12-18,460.678984,463.18,466.12,453.46,455.53,38425211.05
2015-12-19,462.048161,461.2,465.99,452.33,463.18,28327900.15
2015-12-20,446.932872,441.78,462.76,431.1,461.2,54316484.95
2015-12-21,436.673755,437.59,445.54,423.99,441.78,53270215.6
2015-12-22,438.478371,437.03,443.22,433.25,437.59,28845536.39
2015-12-23,440.76923,442.43,444.78,434.28,437.03,27877349.1
2015-12-24,453.452812,452.98,460.62,441.76,442.43,36096662.15
2015-12-25,454.153962,454.05,457.44,449.52,452.98,19251958.85
2015-12-26,424.603542,415.37,456.48,400.45,454.05,88564770.72
2015-12-27,418.148932,422.39,425.51,406.09,415.37,28259303.48
2015-12-28,424.002534,421.76,429.85,417.14,422.39,28978639.73
2015-12-29,426.969887,431.92,433.56,419.3,421.76,30163445.65
2015-12-30,429.023868,427.15,435.04,420.77,431.92,29289416.54
2015-12-31,425.652534,429.95,433.12,417.14,427.15,27758278.73
2016-01-01,432.891973,433.99,437.95,425.86,429.95,20334286.58
2016-01-02,433.918729,433.72,437.43,430.73,433.99,14566820.95
2016-01-03,428.447292,430.7,434.14,423.09,433.72,23490162.61
2016-01-04,432.840788,433.32,435.26,428.6,430.7,22943968.22
2016-01-05,433.03676,431.2,435.25,428.87,433.32,19499588.99
2016-01-06,430.611571,430.82,432.11,425,431.2,18702334.67
2016-01-07,447.425195,457.05,457.54,428.52,430.82,58253615.03
2016-01-08,455.552303,452.87,462.92,446.51,457.05,41594025.32
2016-01-09,451.322193,448.31,454.55,444.9,452.87,17967113.95
2016-01-10,444.886792,446.19,448.88,438.62,448.31,19778456.68
2016-01-11,448.129457,447.72,451.08,441.77,446.19,25358480.83
2016-01-12,446.629703,445.04,448.41,443.14,447.72,19913400.66
2016-01-13,429.434697,432.18,443.72,420.39,445.04,39525195.32
2016-01-14,432.047783,429.13,433.74,427.01,432.18,19948730.59
2016-01-15,399.26875,372.26,430.15,364.71,429.13,107060613.39
2016-01-16,371.256534,385.04,386.72,350.39,372.26,68297105.65
2016-01-17,385.302416,382.47,390.72,377.71,385.04,25464382.4
2016-01-18,383.058535,384.4,387.29,373.21,382.47,26546465.91
2016-01-19,383.115305,379.46,386.69,375.89,384.4,25417876.87
2016-01-20,403.925773,414.58,425.72,374.05,379.46,76873917.15
2016-01-21,414.339334,410.24,423.42,403.86,414.58,37264942.18
2016-01-22,390.376729,382.65,411.49,374.9,410.24,56548790.09
2016-01-23,389.496754,388.61,395.43,380.27,382.65,23908533.75
2016-01-24,399.316403,402.13,405.4,385.53,388.61,25770175.58
2016-01-25,396.000842,392.76,403.78,386.85,402.13,26793044.72
2016-01-26,394.062269,389.78,397.74,387.9,392.76,22384754.5
2016-01-27,396.007881,395.02,397.37,389.35,389.78,17297117.36
2016-01-28,384.350569,379.69,395.42,376.71,395.02,29717813.05
2016-01-29,375.044152,380.29,385.75,363.49,379.69,51927041.84
2016-01-30,379.237383,377.76,381.75,375.04,380.29,13720656.84
2016-01-31,377.215919,369.84,380.54,366.88,377.76,14718855.75
2016-02-01,372.960014,372.18,379.78,365.27,369.84,27728088.91
2016-02-02,375.104965,373.92,376.63,371.4,372.18,19123252.48
2016-02-03,372.271304,368.02,375.89,366.2,373.92,22266682.14
2016-02-04,382.471804,390.65,391.83,368.05,368.02,38961905.49
2016-02-05,388.858479,386.46,391.15,384.48,390.65,23688228.07
2016-02-06,377.948624,376.68,386.35,372.87,386.46,29801286.8
2016-02-07,377.872619,377.94,382.61,375.28,376.68,15395728.35
2016-02-08,376.373417,372.63,380.92,372.1,377.94,23424062.52
2016-02-09,375.76081,375.32,377.59,371.42,372.63,20801701.37
2016-02-10,380.948049,381.88,385.38,374.09,375.32,37137791.06
2016-02-11,380.802785,379.45,383.23,372.75,381.88,23858467.37
2016-02-12,384.778464,384.04,386.4,379.32,379.45,20685663.27
2016-02-13,389.491403,390.1,392.57,383.31,384.04,18757146.48
2016-02-14,400.090076,405.5,405.93,390.06,390.1,29442484.67
2016-02-15,404.781781,401.07,410.85,396.56,405.5,34862753.81
2016-02-16,405.77287,406.42,409.75,398,401.07,27726590.05
2016-02-17,415.836486,417.14,421.45,405.05,406.42,37559686.21
2016-02-18,420.720083,421.4,425.51,414.78,417.14,32541108.12
2016-02-19,420.967981,419.98,424.26,416.36,421.4,21991480.98
2016-02-20,434.490741,440.06,442.66,419.49,419.98,48500793.67
2016-02-21,439.014396,437.87,447.61,425.47,440.06,44120520.96
2016-02-22,438.558324,437.79,440.18,431.3,437.87,24563748.2
2016-02-23,425.914639,419.9,440.76,414.36,437.79,39915706.29
2016-02-24,421.628811,422.72,425.17,410.36,419.9,28041199.85
2016-02-25,423.823027,423.48,427.18,417.51,422.72,22692099.41
2016-02-26,425.503068,427.32,427.58,419.11,423.48,22642013.92
2016-02-27,433.335517,431.3,434.14,427.3,427.32,18543436.43
2016-02-28,430.233076,432.47,435.62,421.22,431.3,21876091.34
2016-02-29,437.338668,436.21,441.32,429.83,432.47,30077319.62
2016-03-01,434.509042,434.04,439.02,428.49,436.21,29312670.84
2016-03-02,431.111019,425.36,435.91,423.85,434.04,24894311.79
2016-03-03,420.630172,419.56,425.83,414.94,425.36,33188751.08
2016-03-04,417.398803,409.48,423.39,407.2,419.56,31416610.3
2016-03-05,400.513182,399,410.06,386.93,409.48,51725937.08
2016-03-06,404.583325,405.96,412.02,393.09,399,25324456.27
2016-03-07,410.360334,414.87,416.58,401.98,405.96,25349627.97
2016-03-08,412.955189,411.9,416.72,408.42,414.87,22204517.93
2016-03-09,413.110162,412.76,414.88,408.94,411.9,21035428.97
2016-03-10,414.717874,415.83,417.48,410.27,412.76,23114636.62
2016-03-11,420.070285,419.11,422.4,415.11,415.83,25469781.33
2016-03-12,413.517549,410.36,420.67,407.03,419.11,24660321.63
2016-03-13,413.322275,412.41,415.93,409.57,410.36,14457108
2016-03-14,414.975461,414.31,416.08,411.19,412.41,20471909.73
2016-03-15,416.234848,415.13,417.37,412.31,414.31,20227610.88
2016-03-16,415.624889,415.91,416.95,413.32,415.13,18509954.18
2016-03-17,420.106422,418.16,419.56,415.33,415.91,18409340.68
2016-03-18,411.366371,408.16,418.58,402.48,418.16,27178165.73
2016-03-19,407.72052,408.69,410.49,402.13,408.16,15084656.26
2016-03-20,411.794361,411.53,413.45,407.24,408.69,12577521.63
2016-03-21,410.930522,411.11,413.09,407.25,411.53,17735457.25
2016-03-22,416.200646,416.21,417.94,410.78,411.11,20425092.47
2016-03-23,417.350117,416.98,419.58,414.18,416.21,16946522.38
2016-03-24,417.494929,414.74,417.68,412.88,416.98,16210672.62
2016-03-25,417.229611,415.71,417.3,412.41,414.74,14431200.38
2016-03-26,416.881946,416.51,417.71,413.93,415.71,11696306.67
2016-03-27,423.449244,424.57,427.36,415.5,416.51,26137150.51
2016-03-28,423.773776,422.21,425.36,419.7,424.57,18410749.99
2016-03-29,416.214671,415,424.53,406.36,422.21,28765857.05
2016-03-30,413.35115,412.44,416.22,408.4,415,17890792.61
2016-03-31,416.034865,415.66,417.16,411.45,412.44,17407273.19
2016-04-01,414.781871,415.64,416.86,412.79,415.66,15852511.01
2016-04-02,419.599316,418.51,420.09,415.09,415.64,13137339.89
2016-04-03,420.701268,419.06,420.18,416.95,418.51,9591214.82
2016-04-04,419.654324,419.33,420.39,416.21,419.06,14031939.65
2016-04-05,422.150348,422.07,423.67,417.95,419.33,17260368.39
2016-04-06,423.566826,421.26,422.81,419.54,422.07,13836754.91
2016-04-07,421.56863,420.14,422.03,417.94,421.26,15200495.86
2016-04-08,421.980803,417.69,423.51,415.5,420.14,19810838.26
2016-04-09,417.741646,418.05,418.85,412.39,417.69,12291880.83
2016-04-10,420.868288,420.25,421.63,416.69,418.05,9806327.9
2016-04-11,422.515528,421.43,422.35,418.11,420.25,15374195.04
2016-04-12,425.917126,424.74,426.69,420.7,421.43,24580503.64
2016-04-13,424.898629,423.47,426.58,421.41,424.74,16183793.93
2016-04-14,425.215251,424.02,425.44,421.84,423.47,13038970.54
2016-04-15,428.946206,428.67,429.49,423.25,424.02,23214560.1
2016-04-16,431.314846,430.05,432,426.84,428.67,12517265.78
2016-04-17,429.160448,426.26,430.62,423.79,430.05,10980868.31
2016-04-18,428.293141,427.69,429.07,424.35,426.26,13951524.85
2016-04-19,431.599205,434.92,436.07,426.84,427.69,19713466.34
2016-04-20,439.143947,441.16,442.86,432.51,434.92,32655415.81
2016-04-21,446.218216,449.34,450.8,439.53,441.16,28168774.29
2016-04-22,447.093336,445.28,450.19,441.9,449.34,22225157.27
2016-04-23,448.507158,450.08,451.48,443.07,445.28,18998211.55
2016-04-24,456.567449,457.56,461.78,447.89,450.08,33984269.34
2016-04-25,460.647974,461.73,466.23,451.79,457.56,37614684.81
2016-04-26,465.545225,466,468.86,459.23,461.73,31451239.15
2016-04-27,457.453725,447.01,467.87,444.62,466,41539684.76
2016-04-28,443.888141,448.48,450.1,433.9,447.01,36369788.38
2016-04-29,451.826904,454.98,456.31,445.22,448.48,20264761.95
2016-04-30,453.002842,448.53,456.86,446.65,454.98,15994805.53
2016-05-01,452.436137,452.24,454.21,447.52,448.53,9838490.74
2016-05-02,444.969783,444.18,453.87,440.21,452.24,32863011.95
2016-05-03,448.086938,450.27,451.54,441.55,444.18,22292253.48
2016-05-04,448.180356,445.8,450.87,444.22,450.27,17676609.71
2016-05-05,447.994601,448.08,449.19,444.35,445.8,18765369.38
2016-05-06,454.812867,459.56,461.48,445.72,448.08,31122708.07
2016-05-07,460.029523,458.46,460.61,454.6,459.56,14247601.97
2016-05-08,459.815748,457.87,460.18,454.94,458.46,12689581.18
2016-05-09,460.988191,460.44,464.18,455.38,457.87,22322043.96
2016-05-10,454.189239,449.36,462.14,446.81,460.44,27247925.23
2016-05-11,453.825743,452.5,456.15,449.59,449.36,18137209.37
2016-05-12,452.41594,454.43,455.34,448.4,452.5,22252919.49
2016-05-13,455.96805,455.41,457.22,451.49,454.43,14768796.02
2016-05-14,457.701794,456.44,457.74,453.58,455.41,9319128.91
2016-05-15,459.762068,458.11,460.28,455,456.44,9745309.9
2016-05-16,457.138478,454.87,459.57,450.73,458.11,16731954.01
2016-05-17,454.593618,453.25,456.3,451.71,454.87,15741822.36
2016-05-18,456.483999,454.22,456.65,452.35,453.25,14884550.93
2016-05-19,448.363268,442.66,455.19,441.12,454.22,26626097.5
2016-05-20,442.176248,442.11,447.76,435.42,442.66,21415312.04
2016-05-21,444.081116,443.64,445.24,439.73,442.11,10213550.36
2016-05-22,441.601433,439.62,444.24,436.94,443.64,12691382.29
2016-05-23,442.539263,443.69,444.99,438.24,439.62,15885933.69
2016-05-24,446.721105,446.11,447.9,442.02,443.69,14837671.76
2016-05-25,449.516785,449.78,451.21,445.35,446.11,16954105.43
2016-05-26,453.212763,453.3,454.25,447.67,449.78,17093327.23
2016-05-27,470.942988,474.05,479.22,452.71,453.3,63894987.38
2016-05-28,502.095537,524.22,531.76,467.05,474.05,75400711.07
2016-05-29,529.28613,516.05,548.04,493.22,524.22,80753301.33
2016-05-30,534.425441,532.26,544.18,512.81,516.05,41433165.43
2016-05-31,533.80431,528.92,546.92,513.15,532.26,60896411.69
2016-06-01,535.071956,537.4,542.26,521.3,528.92,38742660.86
2016-06-02,536.720554,537.1,541.55,530.47,537.4,28380698.71
2016-06-03,559.66268,567.03,573.72,534.34,537.1,59464310.87
2016-06-04,576.051668,571.95,592.68,560.87,567.03,50353517.34
2016-06-05,577.090316,574.91,583.64,567.77,571.95,37233994.18
